year,global_avg_temp,uk_birminghamp_avg_temp
1750,8.72,9.73
1751,7.98,9.51
1752,5.78,6.26
1753,8.39,8.97
1754,8.47,8.82
1755,8.36,8.54
1756,8.85,8.98
1757,9.02,8.92
1758,6.74,8.29
1759,7.99,9.26
1760,7.19,8.69
1761,8.77,9.23
1762,8.61,8.60
1763,7.50,8.29
1764,8.40,8.64
1765,8.25,8.47
1766,8.41,8.58
1767,8.22,8.62
1768,6.78,8.66
1769,7.69,8.60
1770,7.69,8.51
1771,7.85,8.42
1772,8.19,8.82
1773,8.22,8.71
1774,8.77,8.63
1775,9.18,9.53
1776,8.30,8.73
1777,8.26,8.83
1778,8.54,9.30
1779,8.98,10.19
1780,9.43,9.29
1781,8.10,9.91
1782,7.90,7.92
1783,7.68,9.34
1784,7.86,7.93
1785,7.36,8.22
1786,8.26,8.03
1787,8.03,9.11
1788,8.45,9.03
1789,8.33,8.80
1790,7.98,9.27
1791,8.23,9.16
1792,8.09,9.13
1793,8.23,9.13
1794,8.53,9.47
1795,8.35,8.71
1796,8.27,9.02
1797,8.51,9.13
1798,8.67,9.42
1799,8.51,7.61
1800,8.48,8.83
1801,8.59,9.21
1802,8.58,8.93
1803,8.50,8.52
1804,8.84,9.05
1805,8.56,8.43
1806,8.43,9.29
1807,8.28,8.48
1808,7.63,8.45
1809,7.08,8.45
1810,6.92,8.43
1811,6.86,9.40
1812,7.05,8.11
1813,7.74,8.66
1814,7.59,7.52
1815,7.24,8.42
1816,6.94,7.57
1817,6.98,8.46
1818,7.83,9.38
1819,7.37,8.99
1820,7.62,8.32
1821,8.09,9.26
1822,8.19,9.81
1823,7.72,8.39
1824,8.55,9.16
1825,8.39,9.50
1826,8.36,9.63
1827,8.81,9.00
1828,8.17,9.68
1829,7.94,7.70
1830,8.52,8.42
1831,7.64,9.48
1832,7.45,8.89
1833,8.01,8.94
1834,8.15,10.01
1835,7.39,9.06
1836,7.70,8.47
1837,7.38,8.46
1838,7.51,7.75
1839,7.63,8.35
1840,7.80,8.26
1841,7.69,8.52
1842,8.02,8.97
1843,8.17,8.88
1844,7.65,8.51
1845,7.85,8.08
1846,8.55,9.90
1847,8.09,8.89
1848,7.98,8.97
1849,7.98,8.97
1850,7.90,8.74
1851,8.18,8.86
1852,8.10,9.48
1853,8.04,8.16
1854,8.21,8.96
1855,8.11,7.80
1856,8.00,8.76
1857,7.76,9.76
1858,8.10,8.89
1859,8.25,9.40
1860,7.96,7.81
1861,7.85,9.04
1862,7.56,8.97
1863,8.11,9.37
1864,7.98,8.53
1865,8.18,9.40
1866,8.29,9.18
1867,8.44,8.65
1868,8.25,9.91
1869,8.43,9.14
1870,8.20,8.66
1871,8.12,8.74
1872,8.19,9.42
1873,8.35,8.75
1874,8.43,9.00
1875,7.86,9.00
1876,8.08,9.21
1877,8.54,8.93
1878,8.83,9.00
1879,8.17,7.18
1880,8.12,8.83
1881,8.27,8.26
1882,8.13,9.03
1883,7.98,8.67
1884,7.77,9.36
1885,7.92,8.20
1886,7.95,8.34
1887,7.91,8.07
1888,8.09,7.95
1889,8.32,8.63
1890,7.97,8.56
1891,8.02,8.29
1892,8.07,7.93
1893,8.06,9.66
1894,8.16,8.94
1895,8.15,8.34
1896,8.21,9.01
1897,8.29,9.12
1898,8.18,9.67
1899,8.40,9.44
1900,8.50,9.16
1901,8.54,8.75
1902,8.30,8.55
1903,8.22,8.94
1904,8.09,8.73
1905,8.23,8.81
1906,8.38,9.10
1907,7.95,8.57
1908,8.19,9.01
1909,8.18,8.32
1910,8.22,8.88
1911,8.18,9.73
1912,8.17,9.01
1913,8.30,9.41
1914,8.59,9.52
1915,8.59,8.59
1916,8.23,8.82
1917,8.02,8.19
1918,8.13,9.19
1919,8.38,8.15
1920,8.36,9.22
1921,8.57,10.17
1922,8.41,8.37
1923,8.42,8.76
1924,8.51,8.89
1925,8.53,8.82
1926,8.73,9.37
1927,8.52,8.82
1928,8.63,9.24
1929,8.24,8.74
1930,8.63,9.10
1931,8.72,8.71
1932,8.71,9.08
1933,8.34,9.51
1934,8.63,9.65
1935,8.52,9.40
1936,8.55,8.98
1937,8.70,9.21
1938,8.86,9.71
1939,8.76,9.32
1940,8.76,8.81
1941,8.77,8.74
1942,8.73,8.77
1943,8.76,9.71
1944,8.85,9.25
1945,8.58,9.93
1946,8.68,9.10
1947,8.80,9.20
1948,8.75,9.69
1949,8.59,10.26
1950,8.37,9.13
1951,8.63,8.93
1952,8.64,8.88
1953,8.87,9.53
1954,8.56,8.91
1955,8.63,9.01
1956,8.28,8.58
1957,8.73,9.79
1958,8.77,9.17
1959,8.73,10.19
1960,8.58,9.41
1961,8.80,9.58
1962,8.75,8.28
1963,8.86,8.10
1964,8.41,9.15
1965,8.53,8.66
1966,8.60,9.15
1967,8.70,9.31
1968,8.52,9.02
1969,8.60,8.99
1970,8.70,9.29
1971,8.60,9.48
1972,8.50,8.94
1973,8.95,9.37
1974,8.47,9.20
1975,8.74,9.68
1976,8.35,9.67
1977,8.85,9.13
1978,8.69,9.05
1979,8.73,8.51
1980,8.98,9.14
1981,9.17,8.95
1982,8.64,9.59
1983,9.03,9.68
1984,8.69,9.50
1985,8.66,8.54
1986,8.83,8.37
1987,8.99,8.80
1988,9.20,9.44
1989,8.92,10.21
1990,9.23,10.40
1991,9.18,9.24
1992,8.84,9.54
1993,8.87,9.14
1994,9.04,9.86
1995,9.35,10.17
1996,9.04,8.87
1997,9.20,10.17
1998,9.52,10.00
1999,9.29,10.30
2000,9.20,9.97
2001,9.41,9.69
2002,9.57,10.28
2003,9.53,10.25
2004,9.32,10.27
2005,9.70,10.24
2006,9.53,10.58
2007,9.73,10.37
2008,9.43,9.82
2009,9.51,9.90
2010,9.70,8.80
2011,9.52,10.63
2012,9.51,9.55
2013,9.61,9.57
